Fold1,Mean±Std
95.00,95.00±nan
76.67,76.67±nan
76.67,76.67±nan
100.00,100.00±nan
100.00,100.00±nan
91.67,91.67±nan
98.33,98.33±nan
86.67,86.67±nan
96.67,96.67±nan
76.67,76.67±nan
89.83,89.83±9.41
