Fold1,Mean±Std
100.00,100.00±nan
75.00,75.00±nan
75.00,75.00±nan
75.00,75.00±nan
100.00,100.00±nan
75.00,75.00±nan
100.00,100.00±nan
75.00,75.00±nan
100.00,100.00±nan
100.00,100.00±nan
100.00,100.00±nan
75.00,75.00±nan
87.50,87.50±12.50
